product_name,original_data_column_1,original_data_column_2,supplier_article_number,ean,article_number,product_description,supplier,supplier_url,product_image_url,manufacturer,original_data_column_3
Taski AERO Vlies-Staubsack,reinigungsmaschinen/sauger/sauger-zubehör-staubfilterbeutel/sauger-zubehör-staubfilterbeutel,TASKI® Aero Vlies-Staubsack (10 Stück) Für alle Aero 8 & 15 Modelle 10 Stück,2148031,7615400223626,7524288,,igefa Handelsgesellschaft,https://store.igefa.de/p/taski-aero-vlies-staubsack-taski-aero-vlies-staubsack-10-stueck-fuer-alle-aero-8-15-modelle-10-stueck/5eQRMJhq62CFtRym39KWZA,https://media.igefa.de/files/images_idealclean/2148031.jpg,Diversey,Vlies Staubfilterbeutel; für alle Aero 8 & Aero 15 Modelle
Staubfilterbeutel (1.700),reinigungsmaschinen/sauger/sauger-zubehör-staubfilterbeutel/sauger-zubehör-staubfilterbeutel,S10/Vento 8/Aero 8/Aero 15,2204729,4260037977003,1.700,"Papierfiltertüten, geeignet für CleanfixS 10, S 10 plus, S
10 plus eco, SW 15, geeignet für Taski Vento 8, Vento 8 S,
Aero 8, Aero 8 plus, Aero 15, Aero 15 plus, geeignet für
bluematic Staubsauger VC 14 ECO, Baby Bora S4/ S6, geeignet
für Cleanfix SW14, Baby Bora, Hurrican, Columbus, geeignet
für Kesselsauger ST 1000 / 3000 / M 157, / M 158 / M 159,,
geeignet für Hako Kesselsauger, Supervac 100, Harema
Kesselsauger HV 9 S,, geeignet für Elektroma S100, Sorma,
SM 115 / SM 118 / SM 515, doppellagig, Material Papier, 1
Packung à 10 Stk, (Krt à 20 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/staubfilterbeutel-1-700-s10-vento-8-aero-8-aero-15/uLu2My8vkvawZypodJMSBT,https://media.igefa.de/files/images_idealclean/2204729.jpg,Diverse Hersteller,
Staubfilterbeutel (1.617),reinigungsmaschinen/sauger/sauger-zubehör-staubfilterbeutel/sauger-zubehör-staubfilterbeutel,doppellagig ungebl.,2058329,4260037978819,1.617,"doppellagig, ungebleicht, für igefa VC 14HEPA/ CF S10HEPA,
Material Papier, 1 Packung à 10 Stk, (Krt à 28 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/staubfilterbeutel-1-617-doppellagig-ungebl/Hwgn6sEZ59wf5jwZFp335m,https://media.igefa.de/files/images_idealclean/2058329.jpg,Diverse Hersteller,
VC 14HEPA ECO,reinigungsmaschinen/sauger/trockensauger/trockensauger-mit-kabel,bluematic VC 14HEPA ECO Staub-/Kesselsauger 850W,2214217,4024009014239,022.013VDE BM E,"leiser, kompakter, leistungsstarker Universalstaubsauger,
für die tägliche Unterhaltsreinigung textiler Bodenbeläge,
ideal für den gewerblichen Einsatz mittelgroßer Flächen in
Büros, Geschäftsräumen, Hotelräumen, Restaurants, durch die
HEPA-Filtration mit einer Filtrationsleistung von 99,95 %
ist das Gerät auch für sensible Bereiche geeignet,
Teleskoprohr ermöglicht ergonomisches Arbeiten,
Standardzubehör griffbereit und bedienerfreundlich direkt
am Gerät, mit Kabelzugentlastung und Multifunktionsgriff,
kompaktes, robustes Gehäuse aus schlagfestem Kunststoff,
durch Kombi-Bodendüse auch problemloses Saugen von
Hartbodenbelägen möglich, 3 m Schlauch mit Handrohr,
Teleskoprohr, Staubfilterbeutel, 2 lg. Kombi-Bodendüse,
Polsterdüse, Fugendüse, Abmessung 41 x 41 x 63 cm,
Arbeitsbreite 27 cm, Gewicht 10,05 kg, Kabellänge 15 m,
Luftfördermenge maximal 55 l/s, Nennleistungsaufnahme 850 W,
Nutzinhalt 9 l, Schallleistungspegel 76,5 dB, Schutzklasse
II, Staubbeutelinhalt 5,5 l, Unterdruck 23 kPa, Wassersäule
2300 mm, 1 Stück.",igefa Handelsgesellschaft,https://store.igefa.de/p/vc-14hepa-eco-bluematic-vc-14hepa-eco-staub-kesselsauger-850w/2uxcVM6TS6S3b4GyFEnpAh,https://media.igefa.de/files/images/2214217.jpg,bluematic,
Taski AERO 15 plus,reinigungsmaschinen/sauger/trockensauger/trockensauger-mit-kabel,Eco-Funktion inklusive Zubehör,2148030,7615400223305,7524250,"Der hocheffiziente Staubsauger TASKI AERO 5 PLUS verwendet modernste Technologien und hat einen Motor mit extrem hohem Wirkungsgrad. Dank der patentierten Flüstertechnologie arbeitet der Staubsauger äusserst leise. Die PLUS Serie basiert auf einer
Symbiose aus technischem und funktionalem Design und bietet eine sehr komfortable Bedienung in Kombination mit einzigartigen Funktionen. Darüber hinaus wird der Austausch von Teilen wie Kabel und Filter durch ein intelligentes Produktdesign
erleichtert und kann vom Benutzer schnell und ohne Werkzeug ausgeführt werden.",igefa Handelsgesellschaft,https://store.igefa.de/p/taski-aero-15-plus-eco-funktion-inklusive-zubehoer/nJmcF6ZaotXtV8SdT9PJyc,https://media.igefa.de/files/images_idealclean/2148030.jpg,Diversey,"arbeitet extrem leise; leistungsstarker 585 Watt Motor; Eco-Taste senkt Energieverbrauch (295 Watt); Arbeitsbreite 28 cm / Gewicht 8 kg / Kabellänge 12,5 m; gleiche Reinigungsleistung wie ein 900 Watt Staubsauger"
Taski AERO Doppelfilter Papiersack,reinigungsmaschinen/sauger/sauger-zubehör-staubfilterbeutel/sauger-zubehör-staubfilterbeutel,Staubfilterbeutel,2148032,7615400223633,7524289,"Papier - Staubfilterbeutel, für alle AERO 8 und AERO 15 -
Modelle, 1 Paket à 10 Stk.",igefa Handelsgesellschaft,https://store.igefa.de/p/taski-aero-doppelfilter-papiersack-staubfilterbeutel/SMdZCLFfiKvZkRHDrtSRcK,https://media.igefa.de/files/images_idealclean/2148032.jpg,Diversey,
Taski AERO 8 plus,reinigungsmaschinen/sauger/trockensauger/trockensauger-mit-kabel,Eco-Funktion inklusive Zubehör,2148029,7615400223299,7524249,"Der hocheffiziente Staubsauger TASKI AERO 8 PLUS verwendet modernste Technologien und hat einen Motor mit extrem hohem Wirkungsgrad. Dank der patentierten Flüstertechnologie arbeitet der Staubsauger äusserst leise. Die PLUS Serie basiert auf einer
Symbiose aus technischem und funktionalem Design und bietet eine sehr komfortable Bedienung in Kombination mit einzigartigen Funktionen. Darüber hinaus wird der Austausch von Teilen wie Kabel und Filter durch ein intelligentes Produktdesign
erleichtert und kann vom Benutzer schnell und ohne Werkzeug ausgeführt werden.",igefa Handelsgesellschaft,https://store.igefa.de/p/taski-aero-8-plus-eco-funktion-inklusive-zubehoer/K693Miqwa9GRyeCmn4Wmjb,https://media.igefa.de/files/images_idealclean/2148029.jpg,Diversey,"arbeitet extrem leise; leistungsstarker 585 Watt Motor; Eco-Taste senkt Energieverbrauch (295 Watt); Arbeitsbreite 28 cm / Gewicht 7,7 kg / Kabellänge 12,5 m; gleiche Reinigungsleistung wie ein 900 Watt Staubsauger"
Taski AERO 8,reinigungsmaschinen/sauger/trockensauger/trockensauger-mit-kabel,inklusive Zubehör,2148027,7615400223275,7524247,"Der hocheffiziente Staubsauger TASKI AERO 8 nutzt modernste Technologie und verfügt über einen leistungsstarken Motor. Dank der patentierten Flüstertechnologie arbeitet der Staubsauger extrem leise. Darüber hinaus wird der Austausch von Teilen
wie Kabel und Filter durch ein intelligentes Produktdesign erleichtert und kann vom Benutzer schnell und werkzeuglos ausgeführt werden.",igefa Handelsgesellschaft,https://store.igefa.de/p/taski-aero-8-inklusive-zubehoer/2gWonuCr5FnRuYF7b83ttm,https://media.igefa.de/files/images_idealclean/2148027.jpg,Diversey,ultra-leise TASKI Flüstertechnologie; kompaktes & robustes TASKI-Design; nachhaltiges Konzept mit hoher Effizienz; nach modernsten Methoden aus der Praxis entwickelt & getestet
AERO Turbodüse,reinigungsmaschinen/sauger/sauger-zubehör/sauger-zubehör,Taski Aero Turbodüse d=32mm für Teppichbodenbeläge,2149398,7615400223671,7524293,"für alle AERO 8 und AERO 15 - Modelle, Durchmesser 32 mm, 1 Stück.",igefa Handelsgesellschaft,https://store.igefa.de/p/aero-turboduese-taski-aero-turboduese-d-32mm-fuer-teppichbodenbelaege/DgCjcBtQi8zjq4H3dPtFZg,https://media.igefa.de/files/images_idealclean/2149398.jpg,Diversey,
Staubfilterbeutel (1.433),reinigungsmaschinen/sauger/sauger-zubehör-staubfilterbeutel/sauger-zubehör-staubfilterbeutel,S152 Numatic-System,2059210,4260037978291,1.433,"für Floordress Kesselsauger S 12 / S 142 / S 152, QP 152,
Numatic S12 (neue Version), S 22, doppellagig, ungebleicht,
1 Packung à 10 Stk, (Krt à 30 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/staubfilterbeutel-1-433-s152-numatic-system/8aZYtnWjoAaSZXXogFtuuD,https://media.igefa.de/files/images_idealclean/2059210.jpg,Diverse Hersteller,
